,name,inchi,mult
87,NC3H7O2H,"InChI=1S/C3H8O2/c1-2-3-5-4/h4H,2-3H2,1H3",1
88,NC3H7O2,"InChI=1S/C3H7O2/c1-2-3-5-4/h2-3H2,1H3",2
89,IC3H7O2H,"InChI=1S/C3H8O2/c1-3(2)5-4/h3-4H,1-2H3",1
90,IC3H7O2,"InChI=1S/C3H7O2/c1-3(2)5-4/h3H,1-2H3",2
91,NC3H7O,"InChI=1S/C3H7O/c1-2-3-4/h2-3H2,1H3",2
92,IC3H7O,"InChI=1S/C3H7O/c1-3(2)4/h3H,1-2H3",2
93,C3H6OOH1-2,"InChI=1S/C3H7O2/c1-2-3-5-4/h2,4H,3H2,1H3",2
94,C3H6OOH1-3,"InChI=1S/C3H7O2/c1-2-3-5-4/h4H,1-3H2",2
95,C3H6OOH2-1,"InChI=1S/C3H7O2/c1-3(2)5-4/h3-4H,1H2,2H3",2
96,C3H6OOH1-2O2,"InChI=1S/C3H7O4/c1-3(7-5)2-6-4/h3-4H,2H2,1H3",2
97,C3H6OOH1-3O2,"InChI=1S/C3H7O4/c4-6-2-1-3-7-5/h4H,1-3H2",2
98,C3H6OOH2-1O2,"InChI=1S/C3H7O4/c1-3(7-5)2-6-4/h3,5H,2H2,1H3",2
99,C3KET12,"InChI=1S/C3H6O3/c1-3(2-4)6-5/h2-3,5H,1H3",1
100,C3KET13,"InChI=1S/C3H6O3/c4-2-1-3-6-5/h2,5H,1,3H2",1
101,"C3H51-2,3OOH","InChI=1S/C3H7O4/c1-3(7-5)2-6-4/h3-5H,1-2H2",2
102,"C3H52-1,3OOH","InChI=1S/C3H7O4/c4-6-2-1-3-7-5/h1,4-5H,2-3H2",2
103,C3H5O1-2OOH-3,"InChI=1S/C3H6O3/c4-6-2-3-1-5-3/h3-4H,1-2H2",1
104,C3H5O1-3OOH-2,"InChI=1S/C3H6O3/c4-6-3-1-5-2-3/h3-4H,1-2H2",1
105,C3H6O1-2,"InChI=1S/C3H6O/c1-3-2-4-3/h3H,2H2,1H3",1
106,C3H6O1-3,InChI=1S/C3H6O/c1-2-4-3-1/h1-3H2,1
107,C3H6,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3",1
108,C3H5-A,"InChI=1S/C3H5/c1-3-2/h3H,1-2H2",2
109,C3H5-S,"InChI=1S/C3H5/c1-3-2/h1,3H,2H3",2
110,C3H5-T,"InChI=1S/C3H5/c1-3-2/h1H2,2H3",2
